segment,campaign,dealsize,quarter,decision,candidate,outcome,arm
enterprise,partner,4,2025Q1,renew,renew,0,control
sme,brand,3,2025Q1,renew,renew,1,control
sme,product,1,2025Q1,renew,lapse,0,trial
sme,perf,1,2025Q1,renew,lapse,0,control
sme,product,4,2025Q1,renew,lapse,0,trial
sme,product,3,2025Q1,renew,renew,1,control
midmarket,partner,2,2025Q1,renew,renew,1,control
sme,perf,1,2025Q1,renew,renew,0,control
sme,perf,1,2025Q1,renew,renew,0,trial
enterprise,partner,4,2025Q1,renew,renew,1,trial
sme,product,2,2025Q1,renew,renew,1,trial
midmarket,product,1,2025Q1,renew,renew,1,trial
midmarket,product,2,2025Q1,renew,renew,0,control
sme,product,2,2025Q1,renew,lapse,0,trial
sme,partner,4,2025Q1,renew,renew,0,trial
enterprise,partner,4,2025Q1,renew,renew,1,trial
enterprise,brand,1,2025Q1,renew,renew,0,control
enterprise,partner,1,2025Q1,renew,renew,0,trial
sme,product,1,2025Q1,renew,renew,0,trial
enterprise,brand,3,2025Q1,renew,lapse,0,trial
enterprise,perf,3,2025Q1,renew,lapse,1,control
midmarket,perf,3,2025Q1,renew,lapse,0,trial
midmarket,partner,2,2025Q1,renew,lapse,0,control
midmarket,perf,4,2025Q1,renew,renew,0,control
enterprise,perf,3,2025Q1,renew,lapse,0,trial
enterprise,perf,2,2025Q1,renew,renew,1,trial
sme,brand,2,2025Q1,renew,renew,1,control
enterprise,perf,2,2025Q1,renew,renew,1,control
enterprise,brand,1,2025Q1,renew,renew,1,trial
midmarket,brand,3,2025Q1,renew,lapse,0,control
sme,perf,3,2025Q1,renew,renew,0,control
enterprise,partner,1,2025Q1,renew,lapse,0,control
enterprise,product,3,2025Q1,renew,renew,1,trial
midmarket,perf,1,2025Q1,renew,renew,0,control
sme,perf,3,2025Q1,renew,lapse,0,trial
midmarket,partner,2,2025Q1,renew,renew,0,control
enterprise,product,2,2025Q1,renew,renew,1,trial
sme,brand,3,2025Q1,renew,renew,0,control
enterprise,product,4,2025Q1,renew,renew,1,control
sme,product,4,2025Q1,renew,lapse,0,trial
enterprise,product,4,2025Q1,renew,lapse,0,trial
enterprise,brand,4,2025Q1,renew,renew,0,control
sme,perf,2,2025Q1,renew,renew,0,control
midmarket,product,2,2025Q1,renew,lapse,0,control
midmarket,perf,4,2025Q1,renew,lapse,0,control
midmarket,brand,3,2025Q1,renew,renew,0,control
sme,perf,3,2025Q1,renew,renew,0,trial
enterprise,product,1,2025Q1,renew,renew,1,trial
enterprise,perf,2,2025Q1,renew,renew,1,trial
midmarket,product,3,2025Q1,renew,renew,0,trial
midmarket,brand,2,2025Q1,renew,lapse,0,control
midmarket,brand,2,2025Q1,renew,renew,0,control
midmarket,partner,3,2025Q1,renew,renew,1,control
enterprise,perf,4,2025Q1,renew,renew,1,trial
sme,partner,3,2025Q1,renew,renew,0,control
midmarket,brand,2,2025Q1,renew,renew,0,trial
sme,brand,4,2025Q1,renew,renew,0,trial
enterprise,partner,3,2025Q1,renew,lapse,0,trial
enterprise,product,2,2025Q1,renew,lapse,0,trial
enterprise,perf,4,2025Q1,renew,lapse,0,control
midmarket,partner,2,2025Q1,renew,renew,0,control
enterprise,product,3,2025Q1,renew,lapse,0,control
enterprise,partner,4,2025Q1,renew,renew,0,control
enterprise,product,2,2025Q1,renew,renew,0,control
sme,perf,2,2025Q1,renew,renew,0,control
sme,perf,1,2025Q1,renew,renew,0,trial
enterprise,perf,1,2025Q1,renew,renew,1,trial
enterprise,partner,2,2025Q1,renew,renew,1,control
enterprise,product,1,2025Q1,renew,lapse,0,trial
sme,perf,4,2025Q1,renew,lapse,0,trial
midmarket,brand,4,2025Q1,renew,renew,0,control
enterprise,perf,1,2025Q1,renew,renew,0,trial
midmarket,product,4,2025Q1,renew,renew,1,trial
midmarket,product,3,2025Q1,renew,renew,1,control
midmarket,perf,2,2025Q1,renew,renew,0,control
sme,partner,1,2025Q1,renew,renew,0,trial
midmarket,partner,4,2025Q1,renew,renew,1,trial
sme,partner,4,2025Q1,renew,renew,0,control
midmarket,brand,2,2025Q1,renew,renew,1,trial
sme,product,4,2025Q1,renew,lapse,0,trial
sme,product,4,2025Q1,renew,renew,0,trial
midmarket,perf,2,2025Q1,renew,renew,1,control
enterprise,brand,1,2025Q1,renew,lapse,0,trial
enterprise,partner,1,2025Q1,renew,lapse,0,trial
enterprise,product,2,2025Q1,renew,renew,0,trial
midmarket,brand,2,2025Q1,renew,renew,1,trial
sme,brand,3,2025Q1,renew,renew,1,control
sme,perf,4,2025Q1,renew,renew,1,control
sme,perf,2,2025Q1,renew,lapse,1,control
midmarket,brand,4,2025Q1,renew,renew,0,trial
sme,brand,4,2025Q1,renew,renew,0,trial
enterprise,brand,2,2025Q1,renew,lapse,0,control
midmarket,product,3,2025Q1,renew,lapse,0,trial
midmarket,perf,1,2025Q1,renew,renew,0,control
sme,product,3,2025Q1,renew,renew,0,trial
sme,product,2,2025Q1,renew,lapse,0,control
sme,partner,2,2025Q1,renew,renew,0,trial
sme,partner,2,2025Q1,renew,renew,1,trial
enterprise,product,1,2025Q1,renew,lapse,0,trial
midmarket,brand,1,2025Q1,renew,renew,0,trial
enterprise,perf,3,2025Q1,renew,renew,0,control
midmarket,partner,1,2025Q1,renew,renew,0,control
sme,brand,3,2025Q1,renew,lapse,0,control
sme,partner,4,2025Q1,renew,renew,0,control
enterprise,partner,3,2025Q1,renew,renew,0,control
enterprise,brand,3,2025Q1,renew,renew,1,control
midmarket,product,2,2025Q1,renew,lapse,0,trial
enterprise,perf,3,2025Q1,renew,renew,0,control
midmarket,product,4,2025Q1,renew,renew,1,trial
midmarket,partner,3,2025Q1,renew,renew,1,trial
enterprise,partner,1,2025Q1,renew,renew,1,control
midmarket,product,1,2025Q1,renew,lapse,0,control
enterprise,perf,4,2025Q1,renew,lapse,0,trial
enterprise,brand,4,2025Q1,renew,lapse,0,control
midmarket,partner,1,2025Q1,renew,renew,1,trial
midmarket,brand,3,2025Q1,renew,renew,1,trial
midmarket,perf,3,2025Q1,renew,renew,0,control
midmarket,brand,1,2025Q1,renew,renew,1,control
midmarket,partner,4,2025Q1,renew,lapse,0,control
midmarket,product,1,2025Q1,renew,renew,0,control
enterprise,brand,2,2025Q1,renew,renew,0,trial
enterprise,partner,1,2025Q1,renew,renew,0,control
sme,product,2,2025Q1,renew,renew,0,control
sme,partner,2,2025Q1,renew,lapse,0,trial
enterprise,perf,1,2025Q1,renew,renew,0,trial
sme,partner,3,2025Q1,renew,renew,0,control
enterprise,perf,2,2025Q1,renew,renew,0,control
midmarket,perf,2,2025Q1,renew,renew,0,control
midmarket,product,1,2025Q1,renew,renew,1,control
enterprise,perf,1,2025Q1,renew,renew,0,control
midmarket,brand,1,2025Q1,renew,renew,0,control
midmarket,perf,4,2025Q1,renew,lapse,0,control
enterprise,partner,2,2025Q1,renew,renew,0,control
sme,brand,3,2025Q1,renew,renew,1,trial
sme,perf,2,2025Q1,renew,renew,0,control
enterprise,partner,1,2025Q1,renew,renew,1,trial
midmarket,partner,4,2025Q1,renew,renew,0,trial
midmarket,perf,2,2025Q1,renew,renew,1,trial
enterprise,product,3,2025Q1,renew,lapse,0,control
enterprise,brand,1,2025Q1,renew,renew,1,trial
enterprise,partner,3,2025Q1,renew,renew,1,control
midmarket,partner,4,2025Q1,renew,renew,1,control
midmarket,product,4,2025Q1,renew,renew,1,control
enterprise,partner,1,2025Q1,renew,renew,0,control
midmarket,product,3,2025Q1,renew,lapse,0,trial
enterprise,brand,3,2025Q1,renew,lapse,0,trial
midmarket,product,3,2025Q1,renew,lapse,0,control
enterprise,product,1,2025Q1,renew,renew,1,control
sme,brand,4,2025Q1,renew,lapse,0,control
enterprise,brand,2,2025Q1,renew,lapse,0,trial
sme,product,1,2025Q1,renew,renew,1,control
midmarket,perf,4,2025Q1,renew,lapse,0,control
midmarket,product,1,2025Q1,renew,renew,0,control
sme,perf,1,2025Q1,renew,renew,0,trial
midmarket,perf,1,2025Q1,renew,lapse,0,control
sme,partner,4,2025Q1,renew,renew,0,trial
sme,perf,4,2025Q1,renew,renew,0,trial
midmarket,partner,1,2025Q1,renew,renew,0,trial
midmarket,brand,4,2025Q1,renew,renew,1,trial
enterprise,partner,4,2025Q1,renew,renew,1,trial
enterprise,brand,3,2025Q1,renew,renew,1,trial
enterprise,partner,4,2025Q1,renew,lapse,0,control
midmarket,product,3,2025Q1,renew,renew,0,control
midmarket,product,2,2025Q1,renew,renew,1,trial
sme,perf,2,2025Q1,renew,renew,1,control
sme,product,4,2025Q1,renew,renew,0,control
sme,partner,2,2025Q1,renew,lapse,0,trial
midmarket,partner,2,2025Q1,renew,renew,0,trial
enterprise,brand,1,2025Q1,renew,renew,1,control
enterprise,perf,4,2025Q1,renew,renew,1,trial
midmarket,product,2,2025Q1,renew,renew,0,control
enterprise,product,4,2025Q1,renew,renew,1,control
sme,product,1,2025Q1,renew,lapse,0,trial
midmarket,perf,2,2025Q1,renew,renew,1,control
sme,product,3,2025Q1,renew,lapse,0,trial
midmarket,perf,1,2025Q1,renew,renew,0,trial
midmarket,brand,4,2025Q1,renew,renew,1,control
sme,perf,4,2025Q1,renew,renew,0,control
enterprise,perf,2,2025Q1,renew,lapse,0,control
sme,partner,2,2025Q1,renew,renew,0,control
midmarket,perf,3,2025Q1,renew,renew,1,trial
midmarket,partner,1,2025Q1,renew,lapse,0,control
sme,product,3,2025Q1,renew,renew,1,trial
midmarket,partner,4,2025Q1,renew,renew,1,control
midmarket,partner,1,2025Q1,renew,renew,0,control
midmarket,perf,1,2025Q1,renew,lapse,0,trial
midmarket,perf,1,2025Q1,renew,renew,0,trial
enterprise,product,4,2025Q1,renew,renew,1,control
enterprise,perf,1,2025Q1,renew,lapse,0,trial
enterprise,product,3,2025Q1,renew,renew,1,control
enterprise,perf,2,2025Q1,renew,renew,1,control
midmarket,brand,2,2025Q1,renew,renew,1,trial
sme,product,1,2025Q1,renew,renew,0,control
midmarket,product,4,2025Q1,renew,lapse,0,trial
midmarket,product,4,2025Q1,renew,lapse,0,control
enterprise,brand,3,2025Q1,renew,renew,1,trial
enterprise,brand,4,2025Q1,renew,renew,1,control
midmarket,perf,4,2025Q1,renew,renew,0,trial
sme,brand,1,2025Q1,renew,renew,0,control
sme,product,2,2025Q1,renew,renew,0,control
sme,brand,3,2025Q1,renew,renew,1,control
enterprise,brand,1,2025Q1,renew,renew,0,trial
midmarket,brand,4,2025Q1,renew,renew,0,trial
midmarket,product,1,2025Q1,renew,lapse,0,trial
sme,partner,4,2025Q1,renew,renew,0,trial
midmarket,product,4,2025Q1,renew,renew,1,control
enterprise,product,2,2025Q1,renew,renew,1,trial
midmarket,brand,3,2025Q1,renew,renew,0,trial
sme,product,2,2025Q1,renew,lapse,0,control
sme,brand,2,2025Q1,renew,lapse,0,trial
midmarket,partner,1,2025Q1,renew,renew,1,control
midmarket,partner,2,2025Q1,renew,renew,1,trial
sme,brand,2,2025Q1,renew,renew,0,trial
sme,partner,3,2025Q1,renew,lapse,0,control
midmarket,perf,1,2025Q1,renew,renew,0,trial
midmarket,brand,3,2025Q1,renew,renew,1,trial
midmarket,perf,1,2025Q1,renew,renew,0,trial
midmarket,perf,2,2025Q1,renew,renew,1,trial
enterprise,product,2,2025Q1,renew,renew,0,trial
midmarket,brand,4,2025Q1,renew,renew,0,trial
sme,product,3,2025Q1,renew,lapse,0,control
enterprise,partner,4,2025Q1,renew,lapse,0,control
enterprise,partner,4,2025Q1,renew,lapse,0,trial
midmarket,brand,3,2025Q1,renew,renew,0,control
midmarket,partner,2,2025Q1,renew,lapse,0,trial
sme,product,1,2025Q1,renew,renew,0,trial
sme,brand,4,2025Q1,renew,renew,1,trial
sme,perf,3,2025Q1,renew,renew,0,trial
midmarket,product,3,2025Q1,renew,lapse,0,control
midmarket,product,2,2025Q1,renew,lapse,0,trial
sme,product,2,2025Q1,renew,lapse,0,trial
sme,perf,4,2025Q1,renew,renew,0,control
sme,partner,2,2025Q1,renew,renew,0,control
midmarket,brand,3,2025Q1,renew,lapse,0,control
enterprise,perf,2,2025Q1,renew,renew,1,control
enterprise,product,1,2025Q1,renew,renew,0,control
sme,product,4,2025Q1,renew,lapse,0,trial
sme,partner,2,2025Q1,renew,renew,1,control
midmarket,partner,3,2025Q1,renew,renew,0,control
sme,perf,3,2025Q1,renew,renew,0,control
sme,product,2,2025Q1,renew,lapse,0,control
sme,partner,1,2025Q1,renew,lapse,0,control
midmarket,brand,1,2025Q1,renew,lapse,0,control
enterprise,product,2,2025Q1,renew,lapse,0,control
midmarket,partner,2,2025Q1,renew,renew,0,control
midmarket,brand,4,2025Q1,renew,lapse,0,trial
midmarket,brand,3,2025Q1,renew,renew,0,control
enterprise,perf,4,2025Q1,renew,renew,1,trial
enterprise,brand,2,2025Q1,renew,renew,0,trial
sme,partner,2,2025Q1,renew,renew,0,control
sme,partner,1,2025Q1,renew,lapse,0,control
sme,partner,3,2025Q1,renew,renew,0,control
enterprise,partner,3,2025Q1,renew,renew,0,trial
midmarket,perf,4,2025Q1,renew,renew,1,control
sme,perf,2,2025Q1,renew,renew,0,trial
sme,perf,4,2025Q1,renew,lapse,0,control
midmarket,product,1,2025Q1,renew,lapse,0,control
enterprise,product,4,2025Q1,renew,renew,1,control
enterprise,product,1,2025Q1,renew,lapse,0,trial
enterprise,brand,2,2025Q1,renew,lapse,0,trial
midmarket,product,3,2025Q1,renew,lapse,0,control
enterprise,product,2,2025Q1,renew,renew,1,trial
enterprise,product,2,2025Q1,renew,renew,1,trial
sme,perf,2,2025Q1,renew,renew,1,control
midmarket,product,4,2025Q1,renew,lapse,0,control
midmarket,partner,3,2025Q1,renew,renew,1,trial
sme,partner,3,2025Q1,renew,renew,1,trial
enterprise,partner,3,2025Q1,renew,renew,1,trial
midmarket,product,1,2025Q1,renew,lapse,1,trial
midmarket,brand,4,2025Q1,renew,renew,1,control
midmarket,perf,1,2025Q1,renew,renew,0,control
sme,product,2,2025Q1,renew,renew,0,trial
sme,perf,4,2025Q1,renew,renew,0,trial
sme,partner,2,2025Q1,renew,renew,0,trial
enterprise,product,4,2025Q1,renew,renew,1,control
midmarket,product,2,2025Q1,renew,renew,1,trial
enterprise,partner,4,2025Q1,renew,lapse,0,control
midmarket,perf,3,2025Q1,renew,lapse,0,control
sme,product,4,2025Q1,renew,renew,1,control
midmarket,perf,3,2025Q1,renew,lapse,0,trial
enterprise,partner,2,2025Q1,renew,lapse,0,trial
enterprise,brand,3,2025Q1,renew,renew,1,trial
sme,brand,2,2025Q1,renew,renew,1,trial
enterprise,brand,2,2025Q1,renew,lapse,0,trial
sme,partner,3,2025Q1,renew,renew,0,trial
sme,product,3,2025Q1,renew,renew,1,control
midmarket,perf,3,2025Q1,renew,lapse,0,control
midmarket,brand,2,2025Q1,renew,renew,0,trial
midmarket,partner,1,2025Q1,renew,lapse,0,control
sme,product,1,2025Q1,renew,renew,0,trial
enterprise,perf,3,2025Q1,renew,renew,1,trial
midmarket,brand,2,2025Q1,renew,lapse,0,control
midmarket,partner,1,2025Q1,renew,renew,1,control
midmarket,brand,3,2025Q1,renew,lapse,0,control
enterprise,brand,2,2025Q1,renew,renew,1,trial
sme,perf,1,2025Q1,renew,renew,0,trial
enterprise,product,3,2025Q1,renew,lapse,0,trial
midmarket,brand,1,2025Q1,renew,lapse,0,control
midmarket,perf,3,2025Q1,renew,renew,0,trial
sme,product,4,2025Q1,renew,lapse,0,control
sme,product,3,2025Q1,renew,lapse,0,trial
sme,partner,2,2025Q1,renew,lapse,0,trial
midmarket,partner,4,2025Q1,renew,renew,1,control
enterprise,perf,1,2025Q1,renew,renew,1,control
sme,partner,2,2025Q1,renew,renew,1,control
enterprise,brand,3,2025Q1,renew,renew,1,trial
midmarket,product,1,2025Q1,renew,lapse,0,trial
midmarket,partner,1,2025Q1,renew,lapse,0,control
enterprise,partner,4,2025Q1,renew,renew,1,trial
midmarket,perf,4,2025Q1,renew,renew,0,control
enterprise,partner,4,2025Q1,renew,lapse,0,control
sme,brand,1,2025Q1,renew,lapse,0,control
midmarket,perf,3,2025Q1,renew,lapse,0,control
sme,partner,4,2025Q1,renew,renew,0,control
sme,brand,2,2025Q1,renew,renew,0,control
midmarket,brand,4,2025Q1,renew,renew,1,control
midmarket,brand,2,2025Q1,renew,lapse,0,control
midmarket,brand,1,2025Q1,renew,renew,1,trial
midmarket,perf,2,2025Q1,renew,renew,0,control
enterprise,product,1,2025Q1,renew,lapse,0,control
midmarket,partner,4,2025Q1,renew,renew,0,trial
enterprise,perf,3,2025Q1,renew,renew,0,trial
sme,perf,1,2025Q1,renew,lapse,0,control
midmarket,perf,4,2025Q1,renew,renew,0,control
enterprise,product,3,2025Q1,renew,lapse,0,trial
enterprise,product,1,2025Q1,renew,renew,1,trial
enterprise,perf,4,2025Q1,renew,renew,1,trial
enterprise,partner,2,2025Q1,renew,lapse,0,trial
midmarket,perf,2,2025Q1,renew,renew,0,control
midmarket,brand,3,2025Q1,renew,renew,0,control
enterprise,product,1,2025Q1,renew,lapse,0,trial
sme,partner,2,2025Q1,renew,renew,1,trial
enterprise,brand,4,2025Q1,renew,renew,1,trial
enterprise,product,2,2025Q1,renew,renew,0,trial
enterprise,partner,2,2025Q1,renew,lapse,0,control
sme,product,3,2025Q1,renew,renew,0,trial
enterprise,product,2,2025Q1,renew,lapse,0,trial
enterprise,perf,4,2025Q1,renew,renew,1,control
enterprise,partner,1,2025Q1,renew,lapse,0,control
midmarket,product,1,2025Q1,renew,renew,1,control
sme,perf,4,2025Q1,renew,renew,0,trial
enterprise,partner,2,2025Q1,renew,renew,1,trial
midmarket,product,2,2025Q1,renew,renew,1,trial
sme,perf,2,2025Q1,renew,renew,1,control
enterprise,product,1,2025Q1,renew,lapse,0,trial
sme,partner,4,2025Q1,renew,renew,0,trial
midmarket,brand,4,2025Q1,renew,renew,0,trial
sme,product,2,2025Q1,renew,renew,0,control
enterprise,product,1,2025Q1,renew,renew,1,trial
enterprise,product,3,2025Q1,renew,renew,1,control
enterprise,brand,4,2025Q1,renew,lapse,0,trial
sme,product,1,2025Q1,renew,renew,1,trial
enterprise,partner,2,2025Q1,renew,renew,1,control
midmarket,brand,1,2025Q1,renew,renew,1,trial
enterprise,partner,4,2025Q1,renew,renew,1,trial
sme,product,1,2025Q1,renew,lapse,0,trial
midmarket,partner,1,2025Q1,renew,lapse,0,control
sme,brand,3,2025Q1,renew,lapse,0,control
midmarket,brand,2,2025Q1,renew,lapse,0,control
midmarket,partner,2,2025Q1,renew,renew,1,trial
sme,partner,2,2025Q1,renew,renew,0,trial
midmarket,brand,3,2025Q1,renew,renew,0,control
midmarket,partner,3,2025Q1,renew,renew,0,control
enterprise,brand,4,2025Q1,renew,renew,1,trial
sme,product,3,2025Q1,renew,renew,0,trial
sme,product,3,2025Q1,renew,renew,1,control
midmarket,partner,2,2025Q1,renew,renew,1,trial
midmarket,brand,2,2025Q1,renew,renew,1,control
enterprise,partner,1,2025Q1,renew,renew,1,trial
enterprise,partner,2,2025Q1,renew,renew,1,control
sme,perf,1,2025Q1,renew,renew,1,control
sme,product,4,2025Q1,renew,renew,1,control
enterprise,partner,1,2025Q1,renew,renew,1,control
enterprise,perf,1,2025Q1,renew,lapse,0,control
sme,brand,1,2025Q1,renew,renew,1,trial
midmarket,perf,4,2025Q1,renew,renew,1,trial
enterprise,brand,3,2025Q1,renew,renew,0,trial
enterprise,perf,2,2025Q1,renew,renew,0,control
enterprise,perf,4,2025Q1,renew,renew,1,trial
midmarket,brand,2,2025Q1,renew,lapse,0,trial
enterprise,product,2,2025Q1,renew,lapse,0,trial
sme,perf,3,2025Q1,renew,lapse,0,trial
enterprise,partner,1,2025Q1,renew,renew,0,trial
midmarket,perf,3,2025Q1,renew,renew,0,control
sme,product,3,2025Q1,renew,lapse,0,control
midmarket,brand,1,2025Q1,renew,lapse,0,control
enterprise,perf,2,2025Q1,renew,renew,1,control
sme,brand,4,2025Q1,renew,renew,0,control
midmarket,product,4,2025Q1,renew,renew,1,control
enterprise,partner,2,2025Q1,renew,renew,1,control
midmarket,perf,3,2025Q1,renew,renew,1,control
midmarket,partner,1,2025Q1,renew,renew,0,control
sme,brand,4,2025Q1,renew,renew,1,trial
enterprise,brand,1,2025Q1,renew,renew,0,control
sme,partner,4,2025Q1,renew,lapse,0,control
midmarket,perf,1,2025Q1,renew,renew,0,trial
enterprise,product,4,2025Q1,renew,lapse,0,trial
enterprise,perf,1,2025Q1,renew,lapse,0,control
midmarket,perf,3,2025Q1,renew,renew,1,trial
enterprise,brand,2,2025Q1,renew,renew,1,control
midmarket,brand,1,2025Q1,renew,lapse,0,control
enterprise,partner,4,2025Q1,renew,renew,0,control
midmarket,perf,4,2025Q1,renew,renew,1,trial
enterprise,brand,2,2025Q1,renew,lapse,1,trial
sme,partner,1,2025Q1,renew,renew,1,trial
enterprise,product,1,2025Q1,renew,lapse,0,trial
enterprise,partner,2,2025Q1,renew,lapse,0,trial
sme,product,2,2025Q1,renew,renew,1,trial
midmarket,brand,3,2025Q1,renew,renew,1,trial
enterprise,brand,2,2025Q1,renew,renew,0,trial
midmarket,brand,1,2025Q1,renew,renew,1,trial
enterprise,brand,1,2025Q1,renew,renew,1,control
enterprise,perf,3,2025Q1,renew,lapse,0,trial
enterprise,brand,2,2025Q1,renew,lapse,0,control
midmarket,product,4,2025Q1,renew,renew,1,trial
enterprise,product,2,2025Q1,renew,lapse,0,control
enterprise,brand,2,2025Q1,renew,lapse,0,trial
sme,product,1,2025Q1,renew,renew,0,control
midmarket,brand,3,2025Q1,renew,lapse,0,control
sme,product,3,2025Q1,renew,lapse,0,trial
sme,brand,1,2025Q1,renew,renew,0,trial
midmarket,partner,3,2025Q1,renew,renew,1,trial
sme,partner,4,2025Q1,renew,renew,0,trial
midmarket,brand,2,2025Q1,renew,renew,1,control
sme,product,1,2025Q1,renew,renew,1,trial
sme,perf,3,2025Q1,renew,lapse,0,trial
enterprise,perf,3,2025Q1,renew,renew,1,control
midmarket,partner,3,2025Q1,renew,lapse,0,trial
sme,product,4,2025Q1,renew,renew,0,control
midmarket,partner,4,2025Q1,renew,lapse,0,trial
midmarket,product,3,2025Q1,renew,renew,0,trial
midmarket,product,1,2025Q1,renew,lapse,0,trial
enterprise,brand,4,2025Q1,renew,renew,0,control
midmarket,product,4,2025Q1,renew,lapse,0,control
enterprise,product,2,2025Q1,renew,renew,0,trial
